Organism; Proteom volume; Div Time 
Erwinia tasmaniensis (strain DSM 17950 / CIP 109463 / Et1/99);531;4290
Prochlorococcus marinus (strain NATL2A);348;4290
Staphylococcus epidermidis (strain ATCC 12228);759;4290
Akkermansia muciniphila (strain ATCC BAA-835 / Muc);133;4290
Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA);413;4290
Staphylococcus haemolyticus (strain JCSC1435);614;4290
Carboxydothermus hydrogenoformans (strain ATCC BAA-161 / DSM 6008 / Z-2901);352;4290
Yersinia pseudotuberculosis serotype O:1b (strain IP 31758);713;4290
Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466);339;4290
Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / NBRC 12200 / NCIMB 9375 / NRRL NRS-1264 / Gibson 46);564;4290
Roseiflexus castenholzii (strain DSM 13941 / HLO8);213;4290
Herpetosiphon aurantiacus (strain ATCC 23779 / DSM 785);194;4290
Actinobacillus succinogenes (strain ATCC 55618 / 130Z);403;4290
Pseudomonas putida (strain ATCC 700007 / DSM 6899 / BCRC 17059 / F1);478;4290
Streptococcus pneumoniae (strain ATCC BAA-255 / R6);479;4290
Bacillus subtilis (strain 168);4188;4290
Streptococcus thermophilus (strain ATCC BAA-491 / LMD-9);311;4290
Acinetobacter baumannii (strain ATCC 17978 / CIP 53.77 / LMG 1025 / NCDC KC755 / 5377);310;4290
Methanospirillum hungatei JF-1 (strain ATCC 27890 / DSM 864 / NBRC 100397 / JF-1);219;4290
Psychrobacter sp. (strain PRwf-1);248;4290
Salinibacter ruber (strain DSM 13855 / M31);249;4290
Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM 4680);401;4290
Escherichia coli O1:K1 / APEC;714;4290
Alkaliphilus oremlandii (strain OhILAs);267;4290
Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395);520;4290
Streptococcus suis (strain 98HAH33);238;4290
Trichodesmium erythraeum (strain IMS101);346;4290
Xylella fastidiosa (strain Temecula1 / ATCC 700964);515;4290
Dichelobacter nodosus (strain VCS1703A);230;4290
Clostridium tetani (strain Massachusetts / E88);334;4290
Variovorax paradoxus (strain S110);234;4290
Nitrosococcus oceani (strain ATCC 19707 / BCRC 17464 / NCIMB 11848 / C-107);404;4290
Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5);550;4290
Frankia casuarinae (strain DSM 45818 / CECT 9043 / CcI3);264;4290
Treponema pallidum (strain Nichols);622;4290
Geobacillus thermodenitrificans (strain NG80-2);415;4290
Staphylococcus aureus (strain JH9);449;4290
Rhodoferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118);373;4290
Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980);642;4290
Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000);680;4290
Bacillus clausii (strain KSM-K16);496;4290
Burkholderia multivorans (strain ATCC 17616 / 249);342;4290
Staphylococcus aureus (strain bovine RF122 / ET3-1);643;4290
Arthrobacter sp. (strain FB24);222;4290
Pseudomonas savastanoi pv. phaseolicola (strain 1448A / Race 6);547;4290
Macrococcus caseolyticus (strain JCSC5402);218;4290
Elusimicrobium minutum (strain Pei191);118;4290
Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039);369;4290
Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / LMG 7466 / NCTC 11488 / FDC 602W);351;4290
Leptospira borgpetersenii serovar Hardjo-bovis (strain L550);266;4290
Staphylococcus aureus (strain MW2);895;4290
Coxiella burnetii (strain Dugway 5J108-111);290;4290
Dehalococcoides mccartyi (strain ATCC BAA-2100 / JCM 16839 / KCTC 5957 / BAV1);200;4290
Bacillus cereus (strain AH820);402;4290
Actinobacillus pleuropneumoniae serotype 5b (strain L20);426;4290
Escherichia coli (strain K12);4477;4290
Chlorobaculum parvum (strain NCIB 8327);263;4290
Cupriavidus taiwanensis (strain DSM 17343 / BCRC 17206 / CIP 107171 / LMG 19424 / R1);316;4290
Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383);474;4290
Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1);297;4290
Psychrobacter arcticus (strain DSM 17307 / 273-4);333;4290
Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938);392;4290
Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337);475;4290
Mycobacterium sp. (strain MCS);316;4290
Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561);217;4290
Desulfotalea psychrophila (strain LSv54 / DSM 12343);320;4290
Anaeromyxobacter sp. (strain Fw109-5);251;4290
Lactococcus lactis subsp. cremoris (strain MG1363);382;4290
Yersinia pseudotuberculosis serotype IB (strain PB1/+);634;4290
Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF);218;4290
Yersinia pestis bv. Antiqua (strain Nepal516);715;4290
Sinorhizobium medicae (strain WSM419);362;4290
Sphingopyxis alaskensis (strain DSM 13593 / LMG 18877 / RB2256);272;4290
Pyrobaculum aerophilum (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827);314;4290
Streptococcus pneumoniae (strain 70585);290;4290
Rhodopseudomonas palustris (strain HaA2);362;4290
Bacillus anthracis;751;4290
Xanthomonas axonopodis pv. citri (strain 306);557;4290
Bacillus pumilus (strain SAFR-032);425;4290
Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154);261;4290
Burkholderia pseudomallei (strain 1106a);374;4290
Prochlorococcus marinus (strain MIT 9313);408;4290
Acinetobacter baumannii (strain SDF);303;4290
Wolbachia sp. subsp. Brugia malayi (strain TRS);194;4290
Synechococcus sp. (strain CC9311);303;4290
Mycobacterium sp. (strain JLS);308;4290
Salmonella enteritidis PT4 (strain P125109);722;4290
Campylobacter jejuni subsp. jejuni serotype O:23/36 (strain 81-176);315;4290
Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081);737;4290
Ruegeria sp. (strain TM1040);320;4290
Xanthomonas oryzae pv. oryzae (strain MAFF 311018);454;4290
Neisseria meningitidis serogroup B (strain MC58);582;4290
Sulfolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2);475;4290
Prochlorococcus marinus (strain AS9601);299;4290
Anaeromyxobacter sp. (strain K);245;4290
Helicobacter pylori (strain ATCC 700392 / 26695);594;4290
Escherichia coli O6:K15:H31 (strain 536 / UPEC);892;4290
Pseudomonas mendocina (strain ymp);445;4290
Methylibium petroleiphilum (strain ATCC BAA-1232 / LMG 22953 / PM1);301;4290
Xanthomonas oryzae pv. oryzae (strain KACC10331 / KXO85);412;4290
Thermoanaerobacter pseudethanolicus (strain ATCC 33223 / 39E);290;4290
Ralstonia solanacearum (strain GMI1000);603;4290
Verminephrobacter eiseniae (strain EF01-2);279;4290
Neisseria meningitidis serogroup A / serotype 4A (strain Z2491);554;4290
Psychromonas ingrahamii (strain 37);412;4290
Chlamydia pneumoniae;430;4290
Rhizobium etli (strain CFN 42 / ATCC 51251);430;4290
Methanococcus maripaludis (strain C6 / ATCC BAA-1332);234;4290
Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672);796;4290
Paracoccus denitrificans (strain Pd 1222);321;4290
Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1);491;4290
Gloeobacter violaceus (strain PCC 7421);441;4290
Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42);492;4290
Campylobacter fetus subsp. fetus (strain 82-40);235;4290
Bacillus cereus (strain Q1);381;4290
Clostridium botulinum (strain 657 / Type Ba4);254;4290
Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229);602;4290
Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4);501;4290
Brucella suis (strain ATCC 23445 / NCTC 10510);361;4290
Vibrio cholerae serotype O1 (strain M66-2);432;4290
Escherichia coli O157:H7 (strain EC4115 / EHEC);748;4290
Photobacterium profundum (strain SS9);602;4290
Salmonella paratyphi A (strain AKU_12601);714;4290
Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34);404;4290
Escherichia coli (strain K12 / MC4100 / BW2952);765;4290
Xanthomonas campestris pv. campestris (strain 8004);493;4290
Methanococcus aeolicus (strain ATCC BAA-1280 / DSM 17508 / OCM 812 / Nankai-3);227;4290
Methanosphaerula palustris (strain ATCC BAA-1556 / DSM 19958 / E1-9c);120;4290
Escherichia coli O81 (strain ED1a);731;4290
Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633);793;4290
Mycobacterium marinum (strain ATCC BAA-535 / M);328;4290
Sulfolobus islandicus (strain Y.G.57.14 / Yellowstone #1);176;4290
Chlorobium phaeovibrioides (strain DSM 265 / 1930);254;4290
Yersinia pseudotuberculosis serotype O:3 (strain YPIII);638;4290
Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / NBRC 14845 / NCIMB 13405 / ORS 571);303;4290
Gluconobacter oxydans (strain 621H);325;4290
Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126);1034;4290
Methanococcus maripaludis;15;4290
Rickettsia conorii (strain ATCC VR-613 / Malish 7);497;4290
Dechloromonas aromatica (strain RCB);450;4290
Campylobacter jejuni (strain RM1221);334;4290
Bacillus cereus (strain ATCC 14579 / DSM 31 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NRRL B-3711);665;4290
Salmonella paratyphi A (strain ATCC 9150 / SARB42);930;4290
Aeromonas salmonicida (strain A449);452;4290
Streptococcus mutans serotype c (strain ATCC 700610 / UA159);452;4290
Bacillus thuringiensis subsp. konkukian (strain 97-27);569;4290
Lactobacillus fermentum (strain NBRC 3956 / LMG 18251);226;4290
Clostridium kluyveri (strain ATCC 8527 / DSM 555 / NCIMB 10680);286;4290
Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720);1796;4290
Lactococcus lactis subsp. cremoris (strain SK11);323;4290
Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4);347;4290
Helicobacter pylori (strain P12);257;4290
Mesoplasma florum (strain ATCC 33453 / NBRC 100688 / NCTC 11704 / L1);168;4290
Thermosynechococcus elongatus (strain BP-1);485;4290
Burkholderia pseudomallei (strain K96243);496;4290
Clostridium perfringens (strain ATCC 13124 / DSM 756 / JCM 1290 / NCIMB 6125 / NCTC 8237 / Type A);358;4290
Microcystis aeruginosa (strain NIES-843);311;4290
Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CDC 0568-73);695;4290
Staphylococcus epidermidis (strain ATCC 35984 / RP62A);760;4290
Rickettsia rickettsii (strain Iowa);212;4290
Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd);1707;4290
Pseudomonas putida (strain GB-1);466;4290
Helicobacter acinonychis (strain Sheeba);260;4290
Mannheimia succiniciproducens (strain MBEL55E);486;4290
Geobacter metallireducens (strain GS-15 / ATCC 53774 / DSM 7210);361;4290
Staphylococcus aureus (strain USA300 / TCH1516);419;4290
Bradyrhizobium sp. (strain ORS 278);324;4290
Synechococcus sp. (strain CC9605);337;4290
Clostridium botulinum (strain ATCC 19397 / Type A);310;4290
Pelodictyon phaeoclathratiforme (strain DSM 5477 / BU-1);242;4290
Colwellia psychrerythraea (strain 34H / ATCC BAA-681);442;4290
Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024);385;4290
Stenotrophomonas maltophilia (strain K279a);321;4290
Bacillus cereus (strain G9842);409;4290
Yersinia pseudotuberculosis serotype I (strain IP32953);863;4290
Shewanella baltica (strain OS155 / ATCC BAA-1091);430;4290
Magnetospirillum magneticum (strain AMB-1 / ATCC 700264);303;4290
Streptococcus pyogenes serotype M28 (strain MGAS6180);305;4290
Ralstonia pickettii (strain 12J);324;4290
Streptococcus equi subsp. equi (strain 4047);250;4290
Burkholderia mallei (strain SAVP1);346;4290
Xylella fastidiosa (strain M23);320;4290
Staphylococcus aureus (strain Newman);513;4290
Anabaena variabilis (strain ATCC 29413 / PCC 7937);465;4290
Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168);467;4290
Comamonas testosteroni;55;4290
Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315);417;4290
Shewanella oneidensis (strain MR-1);645;4290
Synechococcus sp. (strain RCC307);269;4290
Streptococcus thermophilus (strain CNRZ 1066);321;4290
Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440);718;4290
Agrobacterium vitis (strain S4 / ATCC BAA-846);284;4290
Escherichia coli O157:H7;2037;4290
Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025);529;4290
Streptococcus pyogenes serotype M12 (strain MGAS9429);286;4290
Idiomarina loihiensis (strain ATCC BAA-735 / DSM 15497 / L2-TR);421;4290
Prochlorococcus marinus (strain MIT 9312);336;4290
Aliivibrio salmonicida (strain LFI1238);425;4290
Alkalilimnicola ehrlichii (strain ATCC BAA-1101 / DSM 17681 / MLHE-1);369;4290
Heliobacterium modesticaldum (strain ATCC 51547 / Ice1);221;4290
Maricaulis maris (strain MCS10);272;4290
Shewanella pealeana (strain ATCC 700345 / ANG-SQ1);407;4290
Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099);611;4290
Pyrobaculum neutrophilum (strain DSM 2338 / JCM 9278 / V24Sta);148;4290
Enterococcus faecalis (strain ATCC 700802 / V583);463;4290
Thiobacillus denitrificans (strain ATCC 25259);392;4290
Sulfurihydrogenibium sp. (strain YO3AOP1);170;4290
Rickettsia akari (strain Hartford);238;4290
Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / JCM 11019 / NCTC 9343);313;4290
Rhizobium etli (strain CIAT 652);310;4290
Chlamydia trachomatis serovar L2 (strain 434/Bu / ATCC VR-902B);238;4290
Burkholderia pseudomallei (strain 1710b);418;4290
Staphylococcus carnosus (strain TM300);351;4290
Pseudomonas aeruginosa (strain PA7);512;4290
Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25);610;4290
Deinococcus geothermalis (strain DSM 11300);262;4290
Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 / CIP 104284 / JCM 5825 / NCTC 11152);245;4290
Desulfovibrio desulfuricans (strain ATCC 27774 / DSM 6949);194;4290
Vibrio vulnificus (strain YJ016);718;4290
Pyrococcus abyssi (strain GE5 / Orsay);477;4290
Streptococcus agalactiae serotype Ia (strain ATCC 27591 / A909 / CDC SS700);338;4290
Shigella boydii serotype 4 (strain Sb227);829;4290
Bacillus cereus (strain B4264);413;4290
Streptococcus gordonii (strain Challis / ATCC 35105 / BCRC 15272 / CH1 / DL1 / V288);321;4290
Campylobacter curvus (strain 525.92);215;4290
Nitrosomonas eutropha (strain C91);335;4290
Staphylococcus aureus (strain USA300);673;4290
Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099);551;4290
Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3);487;4290
Haemophilus influenzae (strain 86-028NP);497;4290
Pseudomonas putida (strain W619);453;4290
Methanococcus maripaludis (strain S2 / LL);364;4290
Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338);274;4290
Chlamydia trachomatis serovar A (strain ATCC VR-571B / DSM 19440 / HAR-13);239;4290
Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1);419;4290
Acaryochloris marina (strain MBIC 11017);322;4290
Deinococcus deserti (strain VCD115 / DSM 17065 / LMG 22923);169;4290
Escherichia coli (strain SMS-3-5 / SECEC);791;4290
Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1);422;4290
Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1);1326;4290
Bacillus caldolyticus;23;4290
Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161);143;4290
Thermococcus sibiricus (strain MM 739 / DSM 12597);118;4290
Marinomonas sp. (strain MWYL1);324;4290
Hamiltonella defensa subsp. Acyrthosiphon pisum (strain 5AT);227;4290
Lactobacillus salivarius (strain UCC118);280;4290
Azoarcus sp. (strain BH72);371;4290
Pyrobaculum arsenaticum (strain DSM 13514 / JCM 11321);166;4290
Rhizobium leguminosarum bv. trifolii (strain WSM2304);311;4290
Hyphomonas neptunium (strain ATCC 15444);278;4290
Methanocella arvoryzae (strain DSM 22066 / NBRC 105507 / MRE50);182;4290
Yersinia pestis bv. Antiqua (strain Angola);600;4290
Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094);574;4290
Wolbachia pipientis wMel;207;4290
Shigella sonnei (strain Ss046);879;4290
Salmonella newport (strain SL254);713;4290
Caulobacter vibrioides (strain ATCC 19089 / CB15);571;4290
Rickettsia felis (strain ATCC VR-1525 / URRWXCal2);457;4290
Rickettsia prowazekii (strain Madrid E);586;4290
Corynebacterium kroppenstedtii (strain DSM 44385 / JCM 11950 / CIP 105744 / CCUG 35717);127;4290
Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576);692;4290
Desulfitobacterium hafniense (strain Y51);318;4290
Geobacter uraniireducens (strain Rf4);295;4290
Actinobacillus pleuropneumoniae serotype 7 (strain AP76);383;4290
Stenotrophomonas maltophilia (strain R551-3);313;4290
Porphyromonas gingivalis (strain ATCC BAA-308 / W83);282;4290
Burkholderia cenocepacia (strain HI2424);402;4290
Escherichia coli O139:H28 (strain E24377A / ETEC);834;4290
Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828);223;4290
Thermofilum pendens (strain DSM 2475 / Hrk 5);94;4290
Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra);425;4290
Shewanella denitrificans (strain OS217 / ATCC BAA-1090 / DSM 15013);432;4290
Shewanella woodyi (strain ATCC 51908 / MS32);408;4290
Sulfurimonas denitrificans (strain ATCC 33889 / DSM 1251);277;4290
Rickettsia africae (strain ESF-5);214;4290
Sulfolobus islandicus (strain M.16.27);179;4290
Rickettsia bellii (strain OSU 85-389);226;4290
Solibacter usitatus (strain Ellin6076);242;4290
Corynebacterium glutamicum (strain R);296;4290
Vibrio campbellii (strain ATCC BAA-1116 / BB120);490;4290
Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656 / NCTC 13227 / J2315 / CF5610);340;4290
Escherichia coli O45:K1 (strain S88 / ExPEC);756;4290
Ochrobactrum anthropi (strain ATCC 49188 / DSM 6882 / JCM 21032 / NBRC 15819 / NCTC 12168);359;4290
Haemophilus influenzae (strain PittEE);423;4290
Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7);716;4290
Coxiella burnetii (strain RSA 493 / Nine Mile phase I);396;4290
Salmonella dublin (strain CT_02021853);702;4290
Mycobacterium avium (strain 104);335;4290
Rhodospirillum rubrum (strain ATCC 11170 / ATH 1.1.1 / DSM 467 / LMG 4362 / NCIB 8255 / S1);381;4290
Azotobacter vinelandii (strain DJ / ATCC BAA-1303);364;4290
Prochlorococcus marinus (strain MIT 9515);300;4290
Streptococcus agalactiae serotype III (strain NEM316);391;4290
Shewanella frigidimarina (strain NCIMB 400);467;4290
Bradyrhizobium sp. (strain BTAi1 / ATCC BAA-1182);339;4290
Brucella abortus (strain S19);320;4290
Corynebacterium efficiens (strain DSM 44549 / YS-314 / AJ 12310 / JCM 11189 / NBRC 100395);409;4290
Prochlorococcus marinus (strain MIT 9303);292;4290
Methanococcus maripaludis (strain C7 / ATCC BAA-1331);268;4290
Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787);559;4290
Desulfatibacillum alkenivorans (strain AK-01);177;4290
Brucella abortus biovar 1 (strain 9-941);499;4290
Shewanella sp. (strain MR-4);484;4290
Thermoanaerobacter sp. (strain X514);284;4290
Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090);423;4290
Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis);337;4290
Prochlorococcus marinus (strain MIT 9215);293;4290
Shigella flexneri serotype 5b (strain 8401);760;4290
Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b);220;4290
Granulibacter bethesdensis (strain ATCC BAA-1260 / CGDNIH1);258;4290
Yersinia pestis (strain Pestoides F);667;4290
Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath);458;4290
Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / UW101);239;4290
Protochlamydia amoebophila (strain UWE25);247;4290
Natronomonas pharaonis (strain ATCC 35678 / DSM 2160 / CIP 103997 / NBRC 14720 / NCIMB 2260 / Gabara);266;4290
Helicobacter pylori (strain J99 / ATCC 700824);568;4290
Corynebacterium jeikeium (strain K411);275;4290
Buchnera aphidicola subsp. Schizaphis graminum (strain Sg);562;4290
Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155);555;4290
Psychrobacter cryohalolentis (strain K5);324;4290
Hydrogenovibrio crunogenus (strain XCL-2);356;4290
Clostridium botulinum (strain Okra / Type B1);287;4290
Dehalococcoides mccartyi (strain CBDB1);239;4290
Streptococcus pyogenes serotype M3 (strain SSI-1);416;4290
Pyrobaculum islandicum (strain DSM 4184 / JCM 9189 / GEO3);178;4290
Brucella canis (strain ATCC 23365 / NCTC 10854);364;4290
Enterobacter sp. (strain 638);715;4290
Streptococcus equi subsp. zooepidemicus (strain MGCS10565);231;4290
Prochlorococcus marinus (strain NATL1A);299;4290
Streptococcus pyogenes serotype M1;429;4290
Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A);511;4290
Gramella forsetii (strain KT0803);204;4290
Methanobrevibacter smithii (strain ATCC 35061 / DSM 861 / OCM 144 / PS);189;4290
Coxiella burnetii (strain RSA 331 / Henzerling II);283;4290
Cupriavidus necator (strain JMP 134 / LMG 1197);459;4290
Synechococcus sp. (strain WH8102);417;4290
Hahella chejuensis (strain KCTC 2396);449;4290
Brucella abortus (strain 2308);483;4290
Roseobacter denitrificans (strain ATCC 33942 / OCh 114);339;4290
Burkholderia ambifaria (strain ATCC BAA-244 / AMMD);396;4290
Rubrobacter xylanophilus (strain DSM 9941 / NBRC 16129);244;4290
Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl);246;4290
Aliivibrio fischeri (strain MJ11);447;4290
Listeria monocytogenes serotype 4b (strain F2365);529;4290
